drug1,drug2,side_effect,PRR
rivaroxaban,albuterol,Haemorrhagic anaemia,80.0
ampicillin,hydroxyzine,Blood creatine phosphokinase increased,80.0
pancuronium,prednisone,Injury,80.0
spironolactone,"albumin human, usp",Anhedonia,80.0
terazosin,zolpidem,Encephalopathy,80.0
ezetimibe,alprazolam,Urine flow decreased,80.0
clonazepam,mupirocin,Bronchitis,80.0
dexamethasone,mebeverine,Jaundice,80.0
lactulose,diphenoxylate,Emphysema,80.0
fluindione,celiprolol,International normalised ratio increased,80.0
methadone,phentermine,Completed suicide,80.0
epinephrine,pilocarpine,Uveitis,80.0
levetiracetam,citalopram,Electrocardiogram QRS complex prolonged,80.0
lisinopril,moxifloxacin,Rib fracture,80.0
ipratropium,omalizumab,Asthmatic crisis,80.0
vancomycin,dexchlorpheniramine,Toxic epidermal necrolysis,80.0
acetaminophen,magnesium,Osteosclerosis,80.0
metolazone,ketorolac,Cardiac failure congestive,80.0
midazolam,moxifloxacin,Respiratory failure,80.0
fluoxetine,azathioprine,Osteomyelitis,80.0
carisoprodol,morphine,Intervertebral disc degeneration,80.0
clomipramine,trazodone,Sopor,80.0
fesoterodine,diltiazem,Dry mouth,80.0
citalopram,fluorouracil,Electrocardiogram ST segment elevation,80.0
glatiramer,levofloxacin,Urinary tract infection,80.0
hydrocodone,bupropion,Protrusion tongue,80.0
melphalan,alginic acid,Stomatitis,80.0
zidovudine,folate,Drug exposure during pregnancy,80.0
fluoxetine,pyrazinamide,Serotonin syndrome,80.0
dalteparin,dipyridamole,Hypoglycaemia,80.0
vitamin d,mycophenolic acid,Blood creatinine increased,80.0
ramipril,cyclobenzaprine,Economic problem,80.0
simvastatin,loratadine,PO2 increased,80.0
buspirone,sodium oxybate,Psychotic disorder,80.0
lactulose,doxorubicin,Mucosal inflammation,80.0
fentanyl,cabozantinib,Stomatitis,80.0
polyethylene glycol 3350,nitroglycerin,Hyperlipidaemia,80.0
dabigatran etexilate,"insulin, isophane",Haemorrhagic anaemia,80.0
vitamin e,rituximab,Infusion related reaction,80.0
fexofenadine,methylprednisolone,Intervertebral disc degeneration,80.0
warfarin,malathion,International normalised ratio increased,80.0
bisacodyl,"sodium phosphate, dibasic",Renal failure chronic,80.0
sumatriptan,famotidine,Migraine,80.0
metformin,dexamethasone,Primary sequestrum,80.0
ceftriaxone,teicoplanin,Agranulocytosis,80.0
levothyroxine,acyclovir,Thrombophlebitis superficial,80.0
sulbactam,aprotinin,Injury,80.0
meropenem,fosphenytoin,Coma,80.0
warfarin,fexofenadine,Left ventricular hypertrophy,80.0
rifampin,lopinavir,Serotonin syndrome,80.0
ciprofloxacin,ivabradine,Renal failure acute,80.0
vinorelbine,clemastine,Myalgia,80.0
levodopa,dantrolene,Hypertension,80.0
hydrocodone,lenalidomide,Primary sequestrum,80.0
leuprolide,ondansetron,Metastases to bone,80.0
dapsone,beclomethasone,Asthenia,80.0
oxaliplatin,lansoprazole,Faeces discoloured,80.0
aspirin,ioversol,Renal injury,80.0
esomeprazole,acetylcysteine,Toxic epidermal necrolysis,80.0
celecoxib,meloxicam,Left ventricular hypertrophy,80.0
calcium acetate,ipratropium,Chronic obstructive pulmonary disease,80.0
fluindione,hydroxyzine,Toxic skin eruption,80.0
lactobacillus acidophilus,nitrofurantoin,Urinary tract infection,80.0
sulfamethoxazole,thioguanine,Thrombocytopenia,80.0
"insulin, aspart, human",levothyroxine,Pulmonary valve stenosis congenital,80.0
potassium chloride,etodolac,Hypokalaemia,80.0
estradiol,mirtazapine,Nerve injury,80.0
hydrocortisone,sulbactam,Toxic epidermal necrolysis,80.0
melatonin,methylphenidate,Tic,80.0
propoxyphene,insulin glargine,Economic problem,80.0
carisoprodol,amitriptyline,Somnambulism,80.0
cyclophosphamide,imatinib,Aplasia,80.0
furosemide,magnesium gluconate,Anorexia,80.0
levoleucovorin,oxaliplatin,Gastrointestinal perforation,80.0
"regular insulin, human",loxoprofen,Neutrophil count decreased,80.0
vinorelbine,pregabalin,Osteonecrosis of jaw,80.0
glyburide,propofol,Renal injury,80.0
acetaminophen,leucovorin,Drug clearance decreased,80.0
levocarnitine,acyclovir,Renal failure acute,80.0
deferasirox,darbepoetin alfa,Serum ferritin increased,80.0
furosemide,levalbuterol,Exercise tolerance decreased,80.0
methylprednisolone,epoetin alfa,Deformity,80.0
aspirin,ampicillin,Haemorrhage intracranial,80.0
allopurinol,methotrexate,Livedo reticularis,80.0
bisacodyl,heparin,Decubitus ulcer,80.0
nizatidine,digoxin,Cardiac failure congestive,80.0
scopolamine,dexamethasone,Ileus,80.0
dorzolamide,hydrocortisone,Acute respiratory distress syndrome,80.0
amiodarone,magnesium oxide,Pulmonary congestion,80.0
diphenoxylate,calcium,Vitamin D deficiency,80.0
trifluoperazine,ranitidine,Diabetes mellitus,80.0
benazepril,metoprolol,Breath sounds abnormal,80.0
fluoxetine,vitamin a,Skin irritation,80.0
nystatin,varenicline,Suicide attempt,80.0
cisatracurium,dopamine,Multi-organ failure,80.0
latanoprost,chlorhexidine,Oedema peripheral,80.0
trimethoprim,montelukast,Wheezing,80.0
diazepam,nabumetone,Drug dependence,80.0
glimepiride,everolimus,Stomatitis,80.0
carvedilol,vildagliptin,Blood creatine phosphokinase increased,80.0
benazepril,oxygen,Chronic obstructive pulmonary disease,80.0
naproxen,levothyroxine,Septic arthritis staphylococcal,80.0
prednisolone,foscarnet,Hyperlipidaemia,80.0
fluvastatin,protamine sulfate (usp),Injury,80.0
amoxicillin,propranolol,Live birth,80.0
methadone,betamethasone,Somnolence,80.0
albuterol,modafinil,Intervertebral disc protrusion,80.0
cetirizine,insulin lispro,Hyperglycaemia,80.0
medroxyprogesterone,piroxicam,Breast cancer female,80.0
amlodipine,alteplase,Angioedema,80.0
olanzapine,bendroflumethiazide,Electrocardiogram QT prolonged,80.0
ampicillin,pyrimethamine,Blood potassium decreased,80.0
spironolactone,metaxalone,Multiple injuries,80.0
lamotrigine,rabeprazole,Conjunctivitis,80.0
ferrous fumarate,standardized senna concentrate,Stevens-Johnson syndrome,80.0
insulin detemir,rosuvastatin,Dyspareunia,80.0
ipratropium,risedronate,Aortic valve incompetence,80.0
sertraline,mannitol,Anxiety,80.0
calcium gluconate,heparin,Drug reaction with eosinophilia and systemic symptoms,80.0
"estrogens, conjugated (usp)",beclomethasone,Chronic obstructive pulmonary disease,80.0
duloxetine,benzonatate,Type 2 diabetes mellitus,80.0
fexofenadine,doxylamine,Completed suicide,80.0
ascorbic acid,morphine,Intervertebral disc degeneration,80.0
lamotrigine,progesterone,Patent ductus arteriosus,80.0
cetirizine,ecallantide,Off label use,80.0
lapatinib,morphine,Palmar-plantar erythrodysaesthesia syndrome,80.0
tolterodine,cefuroxime,Atrioventricular block complete,80.0
acetaminophen,terbinafine,Drug-induced liver injury,80.0
hydrocortisone,atorvastatin,Benign prostatic hyperplasia,80.0
levofloxacin,peginterferon alfa-2b,Neutrophil count decreased,80.0
doxorubicin,tiotropium,Febrile neutropenia,80.0
tobramycin,voriconazole,Respiratory failure,80.0
alfacalcidol,epoetin alfa,Haemodialysis,80.0
calcium carbonate,deferasirox,Blood bilirubin increased,80.0
magnesium hydroxide,sodium bicarbonate,Renal failure acute,80.0
methylprednisolone,dexchlorpheniramine,Serum sickness,80.0
metformin,tolterodine,Bladder disorder,80.0
moxifloxacin,alendronate,Chronic obstructive pulmonary disease,80.0
ferrous sulfate,promethazine,Hyperlipidaemia,80.0
"estrogens, conjugated (usp)",lisinopril,Ventricular hypertrophy,80.0
lenograstim,vincristine,Hypertriglyceridaemia,80.0
epinephrine,lovastatin,Stress,80.0
metformin,milnacipran,Fibromyalgia,80.0
vancomycin,pravastatin,Shock,80.0
cisatracurium,chlorhexidine,Anaphylactic reaction,80.0
calcium carbonate,triazolam,Depressed level of consciousness,80.0
valacyclovir,ursodeoxycholate,Altered state of consciousness,80.0
albuterol,clonidine,Skin hypertrophy,80.0
acetaminophen,clofarabine,Lung infection,80.0
cephalexin,morniflumate,Myocardial infarction,80.0
entecavir,lansoprazole,Hepatic neoplasm malignant,80.0
perflutren,isosorbide,Back pain,80.0
factor viia,anti-inhibitor coagulant complex,Thrombosis,80.0
ibuprofen,alprazolam,Dysthymic disorder,80.0
bupropion,meclizine,Osteoporosis,80.0
haloperidol,promazine,Muscle atrophy,80.0
ibandronate,vancomycin,Systemic lupus erythematosus,80.0
venlafaxine,ramipril,Type 1 diabetes mellitus,80.0
hydrocodone,vitamin b 12,Radiculopathy,80.0
rosuvastatin,pamidronate,Neuropathy peripheral,80.0
palonosetron,cisplatin,Stomatitis,80.0
zopiclone,hydroxyurea,Abdominal distension,80.0
venlafaxine,indapamide,Dysphagia,80.0
disulfiram,valproate,Psychotic disorder,80.0
scopolamine,lorazepam,Neuroleptic malignant syndrome,80.0
temazepam,magnesium oxide,Pleural effusion,80.0
acetylcysteine,tiotropium,Toxic epidermal necrolysis,80.0
amlodipine,nefazodone,Type 2 diabetes mellitus,80.0
selegiline,atorvastatin,Diplopia,80.0
alemtuzumab,ondansetron,Febrile neutropenia,80.0
infliximab,clarithromycin,Pneumocystis jiroveci pneumonia,80.0
gentamicin,ranitidine,Serotonin syndrome,80.0
amitriptyline,flecainide,Atrial fibrillation,80.0
formoterol,fluorouracil,Febrile neutropenia,80.0
olmesartan,tolterodine,Urinary incontinence,80.0
teriparatide,naproxen,Osteoarthritis,80.0
brotizolam,peginterferon alfa-2a,Platelet count decreased,80.0
ramelteon,amitriptyline,Drug toxicity,80.0
cetirizine,lansoprazole,Vertigo positional,80.0
tizanidine,interferon beta-1a,Micturition urgency,80.0
valsartan,povidone-iodine,Nasopharyngitis,80.0
cinacalcet,"regular insulin, human",Blood pressure decreased,80.0
eletriptan,modafinil,Abortion spontaneous,80.0
fluconazole,gemcitabine,Pancytopenia,80.0
colchicine,morphine,Dermatitis,80.0
lorazepam,metolazone,Ill-defined disorder,80.0
ramipril,atorvastatin,Toxic shock syndrome,80.0
albuterol,cimetidine,Osteopenia,80.0
sertraline,carvedilol,Orthopnoea,80.0
tramadol,thiothixene,Diabetes mellitus,80.0
zoledronic acid,chondroitin sulfates,Bone disorder,80.0
fluticasone,zopiclone,Adrenal insufficiency,80.0
moxifloxacin,oseltamivir,Drug interaction,80.0
oxybutynin,gabapentin,Pulmonary hypoplasia,80.0
lactulose,pegfilgrastim,Febrile neutropenia,80.0
docusate,propranolol,Granulocytopenia,80.0
spironolactone,pramipexole,Vitreous floaters,80.0
fluticasone,peginterferon alfa-2b,Lower respiratory tract infection,80.0
meperidine,hydroxyzine,Dependence,80.0
glipizide,dexamethasone,Plasma cell myeloma,80.0
dexamethasone,bupropion,Pathological fracture,80.0
prednisolone,dexchlorpheniramine,Toxic epidermal necrolysis,80.0
mirtazapine,potassium chloride,Orthopnoea,80.0
diphenhydramine,enalapril,Diabetic neuropathy,80.0
mecobalamin,peginterferon alfa-2b,White blood cell count decreased,80.0
amlodipine,torsemide,Bradyarrhythmia,80.0
famotidine,carbocysteine,Drug eruption,80.0
trospium,interferon beta-1a,Multiple sclerosis relapse,80.0
temazepam,amoxicillin,Haemorrhoids,80.0
guaifenesin,rosiglitazone,Diabetes mellitus inadequate control,80.0
bifidobacterium bifidum,dexamethasone,Neutrophil count decreased,80.0
quetiapine,promazine,Drug abuse,80.0
amlodipine,lenograstim,Neutrophil count decreased,80.0
benazepril,epoetin alfa,Aplasia pure red cell,80.0
lorazepam,propranolol,Feeling of despair,80.0
neostigmine,fentanyl,Acidosis,80.0
pantoprazole,dimethindene,Stevens-Johnson syndrome,80.0
tazobactam,insulin glargine,Furuncle,80.0
methylprednisolone,naproxen,Diverticulum,80.0
olanzapine,warfarin,Cardiac murmur,80.0
metronidazole,vitamin k 1,Malnutrition,80.0
anastrozole,penicillin,Pain in jaw,80.0
zuclopenthixol,buprenorphine,Blood prolactin increased,80.0
glipizide,lamotrigine,Diabetes mellitus inadequate control,80.0
metronidazole,escitalopram,Hepatitis fulminant,80.0
enoxaparin,prednisone,Peripheral sensory neuropathy,80.0
magnesium,nitroglycerin,Stress,80.0
tramadol,hydrocortisone,Adrenal insufficiency,80.0
ranitidine,celecoxib,Rales,80.0
dasatinib,insulin glargine,Pleural effusion,80.0
fexofenadine,eszopiclone,Initial insomnia,80.0
magnesium chloride,icodextrin,Fungal peritonitis,80.0
ipratropium,naloxone,Coma,80.0
lansoprazole,epoprostenol,Hepatic function abnormal,80.0
ticagrelor,pravastatin,Raynaud's phenomenon,80.0
tamoxifen,doxazosin,Respiratory failure,80.0
metformin,cytarabine,Septic shock,80.0
spironolactone,cefuroxime,Cardiomyopathy,80.0
famotidine,mirtazapine,Intervertebral disc protrusion,80.0
clozapine,gabapentin,Salivary hypersecretion,80.0
guaifenesin,mupirocin,Cellulitis,80.0
fluoxetine,eletriptan,Serotonin syndrome,80.0
oxycodone,ziprasidone,Obesity,80.0
guaifenesin,rabeprazole,Chronic obstructive pulmonary disease,80.0
cefotaxime,piperacillin,Cognitive disorder,80.0
sofosbuvir,ondansetron,Renal failure acute,80.0
furosemide,finasteride,Left ventricular hypertrophy,80.0
dalteparin,metronidazole,Clostridium difficile colitis,80.0
travoprost,acetaminophen,Hyperlipidaemia,80.0
triamcinolone,ziprasidone,Type 2 diabetes mellitus,80.0
glyburide,torsemide,Hepatic cirrhosis,80.0
propofol,flumazenil,Hypoxia,80.0
dutasteride,potassium chloride,Urine flow decreased,80.0
metolazone,insulin glargine,Atrial flutter,80.0
mometasone,simvastatin,Exostosis,80.0
oseltamivir,domperidone,Abnormal behaviour,80.0
tenofovir disoproxil,amphotericin b liposomal,Renal failure acute,80.0
vecuronium,nitroprusside,Injury,80.0
furosemide,bevacizumab,Gastrointestinal perforation,80.0
lenalidomide,lorazepam,Plasmacytoma,80.0
montelukast,adalimumab,Injection site vesicles,80.0
diazepam,"albumin human, usp",Unevaluable event,80.0
drospirenone,chlorhexidine,Emotional distress,80.0
pantoprazole,voriconazole,Blood culture positive,80.0
diltiazem,cocaine,Multiple drug overdose,80.0
lidocaine,desmopressin,Fear,80.0
vitamin e,zolpidem,Osteopenia,80.0
miconazole,spironolactone,Epistaxis,80.0
butalbital,amoxicillin,Neck pain,80.0
aspirin,levalbuterol,Echocardiogram abnormal,80.0
bendroflumethiazide,infliximab,Infusion related reaction,80.0
clonidine,ganciclovir,Dehydration,80.0
meropenem,gabapentin,Septic shock,80.0
"estrogens, conjugated (usp)",ibuprofen,Bronchitis acute,80.0
lactulose,cinacalcet,Blood pressure decreased,80.0
haloperidol,rituximab,Intestinal dilatation,80.0
phloroglucinol,droperidol,Haematuria,80.0
bromperidol,haloperidol,Coma,80.0
venlafaxine,heparin,Malnutrition,80.0
escitalopram,phenazopyridine,Cholelithiasis,80.0
dexamethasone,baclofen,Plasma cell myeloma,80.0
pseudoephedrine,zolpidem,Hiatus hernia,80.0
irinotecan,loperamide,Catheter related infection,80.0
fluconazole,dopamine,Staphylococcal infection,80.0
levodopa,baclofen,Neuroleptic malignant syndrome,80.0
meropenem,aminophylline,Coma,80.0
pantoprazole,ergocalciferol,Orthostatic hypotension,80.0
dalteparin,melphalan,Hepatic function abnormal,80.0
nitrazepam,amitriptyline,Toxicity to various agents,80.0
ustekinumab,montelukast,Paranoia,80.0
tramadol,azelastine,Osteoarthritis,80.0
acetaminophen,calcium citrate,Hypovolaemic shock,80.0
sulfamethoxazole,desipramine,Renal failure,80.0
fexofenadine,risedronate,Osteoporosis,80.0
vardenafil,atazanavir,Drug interaction,80.0
linezolid,terizidone,Pancreatitis,80.0
acetaminophen,rocuronium,Drug reaction with eosinophilia and systemic symptoms,80.0
penicillin v,lenalidomide,Osteonecrosis of jaw,80.0
prochlorperazine,decitabine,Pancytopenia,80.0
aspirin,nifedipine,Skin fibrosis,80.0
prednisolone,oxybutynin,Haematemesis,80.0
sulfamethoxazole,cetirizine,Pneumonitis,80.0
prochlorperazine,sotalol,Atrial fibrillation,80.0
calcium acetate,isosorbide,Renal failure chronic,80.0
enoxaparin,prochlorperazine,Diverticulum intestinal,80.0
cephalexin,diphenoxylate,Blood cholesterol increased,80.0
"insulin, isophane",cyclophosphamide,Neutropenia,80.0
formoterol,levofloxacin,Emphysema,80.0
clonazepam,hydroxyzine,Respiratory acidosis,80.0
6-aminocaproic acid,pravastatin,Renal injury,80.0
stavudine,isoniazid,Serotonin syndrome,80.0
mercaptopurine,teniposide,Muscular weakness,80.0
glutamine,levofloxacin,Oesophagitis,80.0
aspirin,sotalol,Echocardiogram abnormal,80.0
imatinib,metoprolol,Second primary malignancy,80.0
octreotide,hydromorphone,Hyperglycaemia,80.0
nilotinib,allopurinol,Eosinophil count increased,80.0
propoxyphene,megestrol,Economic problem,80.0
pantoprazole,macitentan,Right ventricular failure,80.0
ipratropium,cefuroxime,Chronic obstructive pulmonary disease,80.0
bendroflumethiazide,abiraterone,Renal failure acute,80.0
magnesium hydroxide,carvedilol,Economic problem,80.0
pioglitazone,moxifloxacin,Diabetes mellitus inadequate control,80.0
sucralfate,ezetimibe,Paranoia,80.0
venlafaxine,ofloxacin,International normalised ratio increased,80.0
warfarin,lutein,International normalised ratio increased,80.0
exemestane,levofloxacin,Pleural effusion,80.0
meropenem,sevelamer,Myositis,80.0
moxifloxacin,doxycycline,Mitral valve incompetence,80.0
ferrous fumarate,ranolazine,Renal impairment,80.0
oxymorphone,trazodone,Respiratory arrest,80.0
moxifloxacin,tamoxifen,Pain in jaw,80.0
simvastatin,sitagliptin,Gingival hypertrophy,80.0
ceftriaxone,prednisone,Immunosuppressant drug level increased,80.0
tenofovir disoproxil,metoprolol,Acute myocardial infarction,80.0
albuterol,eplerenone,Chronic obstructive pulmonary disease,80.0
propoxyphene,cefuroxime,Renal injury,80.0
abatacept,methotrexate,Rheumatoid nodule,80.0
aluminum hydroxide,metoclopramide,Pneumonia aspiration,80.0
venlafaxine,carboplatin,Atelectasis,80.0
fluticasone,lithium carbonate,Bipolar disorder,80.0
metformin,sodium phosphate,Dehydration,80.0
hydrocodone,clomiphene,Completed suicide,80.0
trihexyphenidyl,escitalopram,Disorientation,80.0
ritonavir,ethionamide,Drug interaction,80.0
cefazolin,promethazine,Cholecystitis chronic,80.0
"insulin, isophane",valproate,Diabetes mellitus inadequate control,80.0
pregabalin,digoxin,Renal cyst,80.0
vitamin a,sodium chloride,Peritonitis,80.0
misoprostol,metoprolol,Vasculitis,80.0
emtricitabine,phenytoin,Completed suicide,80.0
bisoprolol,irbesartan,Gastrointestinal oedema,80.0
tiagabine,lithium carbonate,Diabetes mellitus,80.0
midazolam,cetirizine,Coma,80.0
risperidone,famotidine,Diabetic neuropathy,80.0
docusate,ethanol,Completed suicide,80.0
levofloxacin,dobutamine,Unevaluable event,80.0
ceftriaxone,pyridoxine,Renal failure acute,80.0
sucralfate,diphenhydramine,Economic problem,80.0
calcium chloride,zolpidem,Peritoneal dialysis complication,80.0
lenograstim,vindesine,Mucosal inflammation,80.0
magnesium gluconate,nitroglycerin,Dehydration,80.0
ephedrine,alglucosidase alfa,Paraesthesia,80.0
bisacodyl,alprazolam,Acute respiratory failure,80.0
acenocoumarol,isosorbide,Electrocardiogram QT prolonged,80.0
estradiol,formoterol,Psychomotor hyperactivity,80.0
trimethoprim,trazodone,Neuroleptic malignant syndrome,80.0
sucralfate,ciclesonide,Psychotic disorder,80.0
pseudoephedrine,simvastatin,Hyperlipidaemia,80.0
haloperidol,fentanyl,Bradyphrenia,80.0
hydrocodone,codeine,Ventricular hypertrophy,80.0
sulfamethoxazole,diazepam,Toxic epidermal necrolysis,80.0
calcium carbonate,itraconazole,Atrial fibrillation,80.0
morphine,linezolid,Serotonin syndrome,80.0
daunorubicin,aluminum hydroxide,Hypertriglyceridaemia,80.0
clotrimazole,calcium gluconate,Pulmonary embolism,80.0
metolazone,fluconazole,Renal failure chronic,80.0
lisinopril,potassium chloride,X-ray abnormal,80.0
sodium bicarbonate,esmolol,Injury,80.0
ranitidine,brinzolamide,Somnolence,80.0
fluindione,folic acid,Clostridium difficile colitis,80.0
cefotaxime,vincristine,Toxic epidermal necrolysis,80.0
valsartan,sodium chloride,Peritonitis,80.0
erythromycin,lidocaine,Emotional distress,80.0
clopidogrel,digitoxin,Nikolsky's sign,80.0
morphine,diphenoxylate,Tricuspid valve incompetence,80.0
brotizolam,levofloxacin,Hepatic function abnormal,80.0
candesartan,leuprolide,Prostate cancer,80.0
valsartan,clomipramine,Hypothyroidism,80.0
mupirocin,ketoconazole,Bronchitis,80.0
selegiline,nimodipine,Drug interaction,80.0
risperidone,misoprostol,Type 2 diabetes mellitus,80.0
methadone,vancomycin,Osteomyelitis,80.0
capecitabine,clemastine,Lymphoedema,80.0
aspirin,sulbactam,Toxic epidermal necrolysis,80.0
loperamide,cefepime,Stomatitis,80.0
amlodipine,piribedil,Fall,80.0
prilocaine,sodium chloride,Sinusitis,80.0
infliximab,tofacitinib,Arthropathy,80.0
treosulfan,fludarabine,Graft versus host disease,80.0
hydrocortisone,peginterferon alfa-2a,Haemorrhoids,80.0
esomeprazole,zafirlukast,Chronic obstructive pulmonary disease,80.0
vitamin d,peginterferon alfa-2b,White blood cell count decreased,80.0
azithromycin,ceftriaxone,Aortic arteriosclerosis,80.0
codeine,tolterodine,Hypokalaemia,80.0
atenolol,mupirocin,Glaucoma,80.0
finasteride,gemcitabine,Thrombocytopenia,80.0
palonosetron,sodium chloride,Oral candidiasis,80.0
hydrocortisone,sodium polystyrene sulfonate,Leukopenia,80.0
lamotrigine,ritonavir,Epilepsy,80.0
estradiol,zopiclone,Hypoaesthesia oral,80.0
lidocaine,darbepoetin alfa,Osteoarthritis,80.0
cisplatin,itraconazole,Bradycardia,80.0
olanzapine,triamterene,Diabetes mellitus,80.0
salmeterol,ranolazine,Arrhythmia,80.0
pamidronate,insulin lispro,Fall,80.0
levodopa,lansoprazole,Pathological gambling,80.0
lovastatin,mannitol,Renal failure,80.0
albuterol,moxifloxacin,Orthopnoea,80.0
prednisone,hydroxyzine,Breath sounds abnormal,80.0
lamotrigine,sodium oxybate,Initial insomnia,80.0
ciprofloxacin,doxazosin,Cytomegalovirus infection,80.0
morphine,spironolactone,Cachexia,80.0
betamethasone,rituximab,Febrile neutropenia,80.0
simvastatin,cyclophosphamide,Leukoencephalopathy,80.0
olanzapine,enoxaparin,Hyperglycaemia,80.0
potassium,captopril,Mitral valve incompetence,80.0
lisinopril,atorvastatin,Cardioactive drug level decreased,80.0
isosorbide dinitrate,promethazine,Cardiomegaly,80.0
leuprolide,verapamil,Rhabdomyolysis,80.0
trifluoperazine,amitriptyline,Type 2 diabetes mellitus,80.0
cephalexin,azelastine,Economic problem,80.0
bisacodyl,codeine,Bronchopneumonia,80.0
drospirenone,formoterol,Anhedonia,80.0
hydrocodone,telmisartan,Intervertebral disc protrusion,80.0
mirtazapine,amiodarone,Coagulopathy,80.0
succinylcholine,pantoprazole,Anaphylactic shock,80.0
clonidine,allopurinol,Nephrogenic systemic fibrosis,80.0
famotidine,gadopentetate dimeglumine,Joint range of motion decreased,80.0
melphalan,amiodarone,Osteonecrosis,80.0
omeprazole,bicalutamide,Tooth abscess,80.0
"insulin, isophane",levofloxacin,Atelectasis,80.0
fluticasone,propofol,Diverticulitis,80.0
neostigmine,gentamicin,Pyrexia,80.0
paclitaxel,vorinostat,Febrile neutropenia,80.0
duloxetine,lansoprazole,Exposed bone in jaw,80.0
azithromycin,ezetimibe,Emotional disorder,80.0
pentosan polysulfate,adalimumab,Injection site bruising,80.0
calcium acetate,midazolam,Unevaluable event,80.0
oxycodone,zolmitriptan,Migraine,80.0
enfuvirtide,zopiclone,Alanine aminotransferase increased,80.0
nystatin,metoclopramide,Livedo reticularis,80.0
enoxaparin,ganciclovir,Septic shock,80.0
topiramate,ezogabine,Urinary retention,80.0
furosemide,everolimus,Metastatic renal cell carcinoma,80.0
calcium carbonate,pyridoxine,Atelectasis,80.0
fexofenadine,amiodarone,Cardiomyopathy,80.0
atropine,isosorbide dinitrate,Bradycardia,80.0
orphenadrine,rofecoxib,Palpitations,80.0
terazosin,fentanyl,Renal injury,80.0
trastuzumab,methotrexate,Metastases to liver,80.0
zuclopenthixol,citalopram,Hypersomnia,80.0
lamotrigine,mirtazapine,Bruxism,80.0
clopidogrel,hydromorphone,Myoclonus,80.0
aripiprazole,diltiazem,Delusion,80.0
valproate,insulin glargine,Diabetes mellitus inadequate control,80.0
prednisone,fentanyl,Seborrhoeic keratosis,80.0
meperidine,codeine,Drug hypersensitivity,80.0
buprenorphine,karaya gum,Haematuria,80.0
levetiracetam,trazodone,Drug prescribing error,80.0
topiramate,nitroglycerin,Mental disorder,80.0
tramadol,methylprednisolone,Cervical spinal stenosis,80.0
etanercept,methylprednisolone,Pseudomonas infection,80.0
granisetron,carbazochrome,White blood cell count decreased,80.0
nitrazepam,atenolol,Haemorrhoids,80.0
daunorubicin,levothyroxine,Acute myeloid leukaemia,80.0
epinephrine,pregabalin,Anaphylactic reaction,80.0
doxazosin,ziprasidone,Diabetes mellitus,80.0
magnesium hydroxide,allopurinol,Pancytopenia,80.0
prazosin,folic acid,Gastrointestinal haemorrhage,80.0
petrolatum,ramipril,Renal failure acute,80.0
clavulanate,acebutolol,Thrombocytopenia,80.0
midazolam,erythromycin,Hypoventilation,80.0
dextromethorphan,azithromycin,Drug reaction with eosinophilia and systemic symptoms,80.0
zolpidem,granisetron,Osteosclerosis,80.0
ondansetron,vitamin d3,Haemorrhage intracranial,80.0
flecainide,allopurinol,Torsade de pointes,80.0
pantoprazole,clonazepam,Type 1 diabetes mellitus,80.0
diclofenac,atorvastatin,Extradural haematoma,80.0
calcium carbonate,levalbuterol,Chronic obstructive pulmonary disease,80.0
hydrocodone,iopromide,Urticaria,80.0
tobramycin,colistin,Pseudomembranous colitis,80.0
diclofenac,miconazole,Pregnancy,80.0
erythromycin,clopidogrel,Eye pain,80.0
enalapril,levalbuterol,Atrial fibrillation,80.0
caspofungin,vincristine,Pancytopenia,80.0
enalapril,cyclosporine,Proteinuria,80.0
lamivudine,folic acid,Cardiac murmur,80.0
simvastatin,potassium chloride,Jugular vein distension,80.0
enalapril,doxazosin,Cardiopulmonary failure,80.0
nicorandil,floxacillin,Drug interaction,80.0
flupenthixol,promazine,Intentional drug misuse,80.0
lapatinib,eribulin,Lung infiltration,80.0
repaglinide,nimodipine,Drug interaction,80.0
hydrochlorothiazide,etoposide,Febrile neutropenia,80.0
ketoprofen,propofol,Dermatitis bullous,80.0
mycophenolate,prednisone,Immune reconstitution syndrome,80.0
famotidine,sucralfate,Vitamin D deficiency,80.0
enoxaparin,minocycline,Pulmonary embolism,80.0
darunavir,clopidogrel,Cardiac failure,80.0
rofecoxib,benztropine,Diabetes mellitus,80.0
bismuth subsalicylate,alprazolam,Arthritis,80.0
chlorpromazine,triamcinolone,Diabetes mellitus,80.0
sufentanil,methylprednisolone,Anaphylactic shock,80.0
atropine,carvedilol,Atrial fibrillation,80.0
armodafinil,zolpidem,Drug ineffective for unapproved indication,80.0
ipratropium,diphenhydramine,Tachypnoea,80.0
prochlorperazine,mecobalamin,Interstitial lung disease,80.0
trifluoperazine,atenolol,Type 2 diabetes mellitus,80.0
furosemide,indomethacin,Renal failure chronic,80.0
propoxyphene,famciclovir,Anxiety,80.0
mitomycin,docetaxel,Disease progression,80.0
methotrexate,valganciclovir,Pancytopenia,80.0
glyburide,ticlopidine,Hepatic function abnormal,80.0
lisinopril,aprepitant,Pancytopenia,80.0
sumatriptan,theophylline,Dehydration,80.0
pseudoephedrine,fluconazole,Atelectasis,80.0
carbidopa,clopidogrel,Hip fracture,80.0
albuterol,carbocysteine,Infective exacerbation of chronic obstructive airways disease,80.0
chlorpheniramine,loperamide,Torsade de pointes,80.0
